order_id,salescheck,shipped_date,delivery_type_code,carrier,ship_mode,tracking_number,create_time
852444471,093002411362,"2017-07-21 00:00:00",R,UPS,GDE,"1Z700078YW00296279    ","2017-07-08 21:29:42"
852447381,093002413455,"2017-07-11 00:00:00",A,UPS,GD,"1Z7000780300294091    ","2017-07-08 22:36:42"
852454683,093002419907,"2017-07-19 00:00:00",R,UPS,GDE,"1Z700078YW00295896    ","2017-07-09 03:40:12"
852454683,093002419907,"2017-07-19 00:00:00",R,UPS,GDE,"1Z700078YW00295896    ","2017-07-09 03:40:12"
852463557,093002425524,"2017-07-10 00:00:00",A,UPS,GD,"1Z7000780300293930    ","2017-07-09 10:50:08"
852463557,093002425524,"2017-07-10 00:00:00",A,UPS,GD,"1Z7000780300293930    ","2017-07-09 10:50:08"
852464611,093002426046,"2017-07-11 00:00:00",A,UPS,GD,"1Z7000780300294064    ","2017-07-09 11:10:38"
852353019,093002426062,"2017-07-11 00:00:00",A,UPS,GD,"1Z7000780300294082    ","2017-07-09 11:14:08"
852467594,093002429336,"2017-07-11 00:00:00",A,UPS,GD,"1Z7000780300294144    ","2017-07-09 12:23:38"
852467594,093002429336,"2017-07-11 00:00:00",A,UPS,GD,"1Z7000780300294144    ","2017-07-09 12:23:38"
852467594,093002429336,"2017-07-11 00:00:00",A,UPS,GD,"1Z7000780300294144    ","2017-07-09 12:23:38"
852467594,093002429336,"2017-07-11 00:00:00",A,UPS,GD,"1Z7000780300294144    ","2017-07-09 12:23:38"
852467594,093002429336,"2017-07-11 00:00:00",A,UPS,GD,"1Z7000780300294144    ","2017-07-09 12:23:38"
852467594,093002429336,"2017-07-11 00:00:00",A,UPS,GD,"1Z7000780300294144    ","2017-07-09 12:23:38"
852471283,093002431942,"2017-07-11 00:00:00",R,UPS,GDE,"1Z700078YW00294253    ","2017-07-09 12:58:50"
852471443,093002431961,"2017-07-10 00:00:00",A,UPS,GD,"1Z7000780300293789    ","2017-07-09 13:21:12"
852474857,093002434924,"2017-07-10 00:00:00",A,UPS,GD,"1Z7000780300293805    ","2017-07-09 13:47:12"
846906219,093002433389,"2017-07-13 00:00:00",A,UPS,GD,"1Z7000780300294608    ","2017-07-09 13:53:12"
846906219,093002433389,"2017-07-13 00:00:00",A,UPS,GD,"1Z7000780300294608    ","2017-07-09 13:53:12"
