order_id,salescheck,Shipped_date,carrier,ship_mode,tracking_number,store_number
848770625,1431526158,09/26/2017,UPS,SUREPOST,1Z022VW8YW00089483,3345
849703109,1431550599,09/27/2017,UPS,Ground,1Z022VW80300089785,3345
849959809,1431519172,09/26/2017,UPS,SUREPOST,1Z022VW8YW00089401,3345
850773791,1431651737,10/08/2017,UPS,SUREPOST,1Z022VW8YW00090757,3345
852900985,1431543743,09/26/2017,UPS,SUREPOST,1Z022VW8YW00089714,3345
853186645,1431470433,09/18/2017,UPS,Ground,1Z022VW80300088875,3345
853257211,1431542624,09/26/2017,UPS,SUREPOST,1Z022VW8YW00089652,3345
853303632,1431450975,09/16/2017,UPS,SUREPOST,1Z022VW8YW00088644,3345
854086447,1431628463,10/05/2017,UPS,Ground,1Z022VW80300090488,3345
855233644,1431450442,09/16/2017,UPS,Ground,1Z022VW80300088615,3345
855503492,1431400243,09/12/2017,UPS,Ground,1Z022VW80300087983,3345
855609318,1431404474,09/12/2017,UPS,SUREPOST,1Z022VW8YW00088108,3345
855626536,1431412199,09/12/2017,UPS,SUREPOST,1Z022VW8YW00088206,3345
855637666,1431399585,09/12/2017,UPS,Ground,1Z022VW80300087974,3345
855643078,1431398347,09/12/2017,UPS,Ground,1Z022VW80300087965,3345
855657283,1431400377,09/12/2017,UPS,Ground,1Z022VW80300087992,3345
855660309,1431409503,09/12/2017,UPS,Ground,1Z022VW80300088124,3345
855660560,1431420097,09/13/2017,UPS,Ground,1Z022VW80300088348,3345
855660560,1431420097,09/13/2017,UPS,Ground,1Z022VW80300088339,3345
855665497,1431400983,09/12/2017,UPS,Ground,1Z022VW80300088008,3345
855667635,1431401550,09/12/2017,UPS,SUREPOST,1Z022VW8YW00088019,3345
855682946,1431402553,09/12/2017,UPS,Ground,1Z022VW80300088026,3345
855684904,1431475819,09/19/2017,UPS,Ground,1Z022VW80300088937,3345
855697130,1431404610,09/12/2017,UPS,Ground,1Z022VW80300088071,3345
855699728,1431404839,09/12/2017,UPS,Ground,1Z022VW80300088035,3345
855701737,1431405007,09/12/2017,UPS,Ground,1Z022VW80300088044,3345
855702657,1431404872,09/12/2017,UPS,SUREPOST,1Z022VW8YW00088091,3345
855702657,1431406016,09/12/2017,UPS,Ground,1Z022VW80300088080,3345
855706106,1431405641,09/12/2017,UPS,Ground,1Z022VW80300088053,3345
855709074,1431406081,09/12/2017,UPS,SUREPOST,1Z022VW8YW00088064,3345
855722232,1431407622,09/12/2017,UPS,Ground,1Z022VW80300088142,3345
855734093,1431409912,09/12/2017,UPS,Ground,1Z022VW80300088151,3345
855735804,1431409938,09/12/2017,UPS,SUREPOST,1Z022VW8YW00088135,3345
855736543,1431410197,09/12/2017,UPS,Ground,1Z022VW80300088115,3345
855748704,1431411573,09/12/2017,UPS,Ground,1Z022VW80300088160,3345
855749148,1431411693,09/12/2017,UPS,Ground,1Z022VW80300088179,3345
855753280,1431412367,09/12/2017,UPS,SUREPOST,1Z022VW8YW00088199,3345
855754978,1431412390,09/12/2017,UPS,SUREPOST,1Z022VW8YW00088180,3345
855771224,1431420099,09/13/2017,UPS,SUREPOST,1Z022VW8YW00088297,3345
855779983,1431417044,09/12/2017,UPS,Ground,1Z022VW80300088213,3345
855779985,1431469681,09/18/2017,UPS,Ground,1Z022VW80300088866,3345
855780218,1431427492,09/13/2017,UPS,Ground,1Z022VW80300088375,3345
855780230,1431416737,09/12/2017,UPS,SUREPOST,1Z022VW8YW00088233,3345
855783867,1431416780,09/12/2017,UPS,Ground,1Z022VW80300088222,3345
855794548,1431443322,09/16/2017,UPS,SUREPOST,1Z022VW8YW00088573,3345
855800554,1431419826,09/13/2017,UPS,SUREPOST,1Z022VW8YW00088288,3345
855800844,1431420120,09/13/2017,UPS,SUREPOST,1Z022VW8YW00088251,3345
