order_id,salescheck,Shipped_date,carrier,ship_mode,tracking_number,store_number
854792258,093003156518,2017-08-24,UPS,GD,1Z05515E0302153057    ,1003
854808207,093003169806,2017-08-24,UPS,GD,1Z05515E0302153048    ,1003
854811384,093003172370,2017-08-24,UPS,GD,1Z05515E0302153137    ,1003
854830303,093003189165,2017-08-24,UPS,GD,1Z05515E0302153173    ,1003
854833277,093003202196,2017-08-25,UPS,GD,1Z05515E0302153182    ,1003
854834927,093003201495,2017-08-25,UPS,GDE,1Z05515EYW02153228    ,1003
854836552,093003205448,2017-08-25,UPS,GDE,1Z05515EYW02153200    ,1003
854855725,093003229902,2017-08-25,UPS,GDE,1Z05515EYW02153193    ,1003
854858175,093003232411,2017-08-25,UPS,GD,1Z05515E0302153217    ,1003
854866599,093003239922,2017-08-25,UPS,GD,1Z05515E0302153235    ,1003
854871378,093003244245,2017-08-25,UPS,GD,1Z05515E0302153244    ,1003
854889429,093003260148,2017-08-28,UPS,GDE,1Z05515EYW02153255    ,1003
854893379,093003263591,2017-08-28,UPS,GD,1Z05515E0302153360    ,1003
854896488,093003267379,2017-08-28,UPS,GD,1Z05515E0302153351    ,1003
854896488,093003267379,2017-08-28,UPS,GD,1Z05515E0302153351    ,1003
854896488,093003267379,2017-08-28,UPS,GD,1Z05515E0302153351    ,1003
854896488,093003267379,2017-08-28,UPS,GD,1Z05515E0302153351    ,1003
854911621,093003288207,2017-08-28,UPS,GD,1Z05515E0302153379    ,1003
854911621,093003288207,2017-08-28,UPS,GD,1Z05515E0302153379    ,1003
854922119,093003298906,2017-08-28,UPS,GD,1Z05515E0302153280    ,1003
854916303,093003304578,2017-08-28,UPS,GD,1Z05515E0302153271    ,1003
854844792,093003309075,2017-08-28,UPS,GD,1Z05515E0302153262    ,1003
854844792,093003309075,2017-08-28,UPS,GD,1Z05515E0302153262    ,1003
854953947,093003351128,2017-08-28,UPS,GD,1Z05515E0302153388    ,1003
854930160,093003302231,2017-08-28,UPS,GDE,1Z05515EYW02153326    ,1003
854965567,093003360393,2017-08-28,UPS,GD,1Z05515E0302153333    ,1003
854985283,093003376878,2017-08-28,UPS,GD,1Z05515E0302153342    ,1003
854986510,093003378001,2017-08-28,UPS,GD,1Z05515E0302153315    ,1003
844164263,093003378092,2017-08-28,UPS,GD,1Z05515E0302153299    ,1003
854992444,093003382461,2017-08-28,UPS,GD,1Z05515E0302153306    ,1003
855058503,093003449036,2017-08-29,UPS,GD,1Z05515E0302153413    ,1003
854749706,093003159808,2017-08-24,UPS,GDE,1ZX3X088YW00299445    ,1004
854749706,093003159808,2017-08-24,UPS,GDE,1ZX3X088YW00299445    ,1004
854749706,093003159808,2017-08-24,UPS,GDE,1ZX3X088YW00299445    ,1004
854749706,093003159808,2017-08-24,UPS,GDE,1ZX3X088YW00299445    ,1004
854800350,093003163396,2017-08-24,UPS,GDE,1ZX3X088YW00299472    ,1004
854802483,093003164783,2017-08-24,UPS,GD,1ZX3X0880300299390    ,1004
854802483,093003164783,2017-08-24,UPS,GD,1ZX3X0880300299390    ,1004
854802483,093003164783,2017-08-24,UPS,GD,1ZX3X0880300299390    ,1004
854802133,093003164882,2017-08-24,UPS,GDE,1ZX3X088YW00299365    ,1004
854802133,093003164882,2017-08-24,UPS,GDE,1ZX3X088YW00299365    ,1004
854802795,093003165440,2017-08-24,UPS,GD,1ZX3X0880300299407    ,1004
854554960,093003164422,2017-08-24,UPS,GDE,1ZX3X088YW00299418    ,1004
null,093003163942,2017-08-24,UPS,GD,1ZX3X0880300299452    ,1004
null,093003163942,2017-08-24,UPS,GD,1ZX3X0880300299452    ,1004
null,093003163942,2017-08-24,UPS,GD,1ZX3X0880300299452    ,1004
854805181,093003167056,2017-08-24,UPS,GDE,1ZX3X088YW00299374    ,1004
854803771,093003164957,2017-08-24,UPS,GD,1ZX3X0880300299425    ,1004
854803771,093003164957,2017-08-24,UPS,GD,1ZX3X0880300299425    ,1004
854805271,093003168932,2017-08-24,UPS,GDE,1ZX3X088YW00299481    ,1004
854810962,093003172150,2017-08-24,UPS,GDE,1ZX3X088YW00299436    ,1004
854790341,093003172182,2017-08-24,UPS,GD,1ZX3X0880300299461    ,1004
854790341,093003172182,2017-08-24,UPS,GD,1ZX3X0880300299461    ,1004
854790341,093003172182,2017-08-24,UPS,GD,1ZX3X0880300299461    ,1004
854790341,093003172182,2017-08-24,UPS,GD,1ZX3X0880300299461    ,1004
854811664,093003173327,2017-08-24,UPS,GD,1ZX3X0880300299505    ,1004
854811664,093003173327,2017-08-24,UPS,GD,1ZX3X0880300299505    ,1004
854811664,093003173327,2017-08-24,UPS,GD,1ZX3X0880300299505    ,1004
854811664,093003173327,2017-08-24,UPS,GD,1ZX3X0880300299505    ,1004
854811664,093003173327,2017-08-24,UPS,GD,1ZX3X0880300299505    ,1004
854812860,093003174056,2017-08-24,UPS,GD,1ZX3X0880300299345    ,1004
854812860,093003174056,2017-08-24,UPS,GD,1ZX3X0880300299345    ,1004
854812860,093003174056,2017-08-24,UPS,GD,1ZX3X0880300299345    ,1004
854818020,093003177858,2017-08-24,UPS,GDE,1ZX3X088YW00299490    ,1004
854811617,093003172470,2017-08-24,UPS,GDE,1ZX3X088YW00299356    ,1004
854816624,093003176902,2017-08-24,UPS,GD,1ZX3X0880300299532    ,1004
854824265,093003183786,2017-08-24,UPS,GD,1ZX3X0880300299541    ,1004
854824265,093003183786,2017-08-24,UPS,GD,1ZX3X0880300299541    ,1004
854824265,093003183786,2017-08-24,UPS,GD,1ZX3X0880300299541    ,1004
854824265,093003183786,2017-08-24,UPS,GD,1ZX3X0880300299541    ,1004
854826428,093003186403,2017-08-24,UPS,GDE,1ZX3X088YW00299525    ,1004
854826786,093003186505,2017-08-24,UPS,GDE,1ZX3X088YW00299516    ,1004
854838676,093003207213,2017-08-25,UPS,GDE,1ZX3X088YW00299561    ,1004
854849120,093003227672,2017-08-25,UPS,GD,1ZX3X0880300299578    ,1004
854849120,093003227672,2017-08-25,UPS,GD,1ZX3X0880300299578    ,1004
854849120,093003227672,2017-08-25,UPS,GD,1ZX3X0880300299578    ,1004
854849120,093003227672,2017-08-25,UPS,GD,1ZX3X0880300299578    ,1004
854857983,093003233438,2017-08-25,UPS,GD,1ZX3X0880300299596    ,1004
854861183,093003234831,2017-08-25,UPS,GDE,1ZX3X088YW00299589    ,1004
854861183,093003234831,2017-08-25,UPS,GDE,1ZX3X088YW00299589    ,1004
854865199,093003237549,2017-08-25,UPS,GD,1ZX3X0880300299667    ,1004
854865997,093003239108,2017-08-25,UPS,GD,1ZX3X0880300299612    ,1004
854865997,093003239108,2017-08-25,UPS,GD,1ZX3X0880300299612    ,1004
854865997,093003239108,2017-08-25,UPS,GD,1ZX3X0880300299612    ,1004
854865997,093003239108,2017-08-25,UPS,GD,1ZX3X0880300299612    ,1004
854865997,093003239108,2017-08-25,UPS,GD,1ZX3X0880300299612    ,1004
854867536,093003239787,2017-08-25,UPS,GD,1ZX3X0880300299603    ,1004
854867747,093003240130,2017-08-25,UPS,GD,1ZX3X0880300299701    ,1004
854866469,093003240214,2017-08-25,UPS,GD,1ZX3X0880300299694    ,1004
854869108,093003240284,2017-08-25,UPS,GDE,1ZX3X088YW00299687    ,1004
854869108,093003240284,2017-08-25,UPS,GDE,1ZX3X088YW00299687    ,1004
854868738,093003240920,2017-08-25,UPS,GD,1ZX3X0880300299676    ,1004
854849509,093003248795,2017-08-25,UPS,GD,1ZX3X0880300299630    ,1004
854849509,093003248795,2017-08-25,UPS,GD,1ZX3X0880300299630    ,1004
854849509,093003248795,2017-08-25,UPS,GD,1ZX3X0880300299630    ,1004
null,093003249596,2017-08-25,UPS,GD,1ZX3X0880300299658    ,1004
854876957,093003250003,2017-08-25,UPS,GD,1ZX3X0880300299621    ,1004
854876957,093003250003,2017-08-25,UPS,GD,1ZX3X0880300299621    ,1004
854876957,093003250003,2017-08-25,UPS,GD,1ZX3X0880300299621    ,1004
854876957,093003250003,2017-08-25,UPS,GD,1ZX3X0880300299621    ,1004
854876957,093003250003,2017-08-25,UPS,GD,1ZX3X0880300299621    ,1004
854876957,093003250003,2017-08-25,UPS,GD,1ZX3X0880300299621    ,1004
854831651,093003250158,2017-08-25,UPS,GDE,1ZX3X088YW00299641    ,1004
854880682,093003252525,2017-08-25,UPS,GD,1ZX3X0880300299710    ,1004
854880682,093003252525,2017-08-25,UPS,GD,1ZX3X0880300299710    ,1004
854880682,093003252525,2017-08-25,UPS,GD,1ZX3X0880300299710    ,1004
854880682,093003252525,2017-08-25,UPS,GD,1ZX3X0880300299710    ,1004
854880682,093003252525,2017-08-25,UPS,GD,1ZX3X0880300299710    ,1004
