order_id,salescheck,shipped_date,delivery_type_code,carrier,ship_mode,tracking_number,create_time
852443978,093002411953,"2017-07-09 00:00:00",A,UPS,GD,"1ZX3X0880300288384    ","2017-07-08 21:44:42"
852446249,093002412843,"2017-07-09 00:00:00",A,UPS,GD,"1ZX3X0880300288419    ","2017-07-08 22:08:37"
852447445,093002412991,"2017-07-09 00:00:00",A,UPS,GD,"1ZX3X0880300288393    ","2017-07-08 22:26:42"
852447445,093002412991,"2017-07-09 00:00:00",A,UPS,GD,"1ZX3X0880300288393    ","2017-07-08 22:26:42"
852446375,093002413432,"2017-07-09 00:00:00",R,UPS,GDE,"1ZX3X088YW00288475    ","2017-07-08 22:29:42"
852446375,093002413432,"2017-07-09 00:00:00",R,UPS,GDE,"1ZX3X088YW00288475    ","2017-07-08 22:29:42"
852452406,093002416773,"2017-07-09 00:00:00",R,UPS,GDE,"1ZX3X088YW00288420    ","2017-07-09 00:27:12"
850947277,093002417178,"2017-07-09 00:00:00",A,UPS,GD,"1ZX3X0880300288400    ","2017-07-09 00:40:42"
850947277,093002417178,"2017-07-09 00:00:00",A,UPS,GD,"1ZX3X0880300288400    ","2017-07-09 00:40:42"
852452694,093002417818,"2017-07-09 00:00:00",R,UPS,GDE,"1ZX3X088YW00288466    ","2017-07-09 00:50:42"
852452694,093002417818,"2017-07-09 00:00:00",R,UPS,GDE,"1ZX3X088YW00288466    ","2017-07-09 00:50:42"
852453818,093002418401,"2017-07-09 00:00:00",R,UPS,GDE,"1ZX3X088YW00288457    ","2017-07-09 01:14:37"
852456559,093002420064,"2017-07-09 00:00:00",R,UPS,GDE,"1ZX3X088YW00288439    ","2017-07-09 04:46:42"
852361275,093002306939,"2017-07-09 00:00:00",A,UPS,GD,"1ZX3X0880300288446    ","2017-07-09 09:27:42"
852462158,093002424092,"2017-07-09 00:00:00",R,UPS,GDE,"1ZX3X088YW00288484    ","2017-07-09 10:22:13"
852462158,093002424092,"2017-07-09 00:00:00",R,UPS,GDE,"1ZX3X088YW00288484    ","2017-07-09 10:22:13"
852467715,093002428453,"2017-07-09 00:00:00",A,UPS,GD,"1ZX3X0880300288375    ","2017-07-09 11:40:38"
852467715,093002428453,"2017-07-09 00:00:00",A,UPS,GD,"1ZX3X0880300288375    ","2017-07-09 11:40:38"
852472218,093002432440,"2017-07-09 00:00:00",A,UPS,GD,"1ZX3X0880300288348    ","2017-07-09 13:03:39"
852472218,093002432440,"2017-07-09 00:00:00",A,UPS,GD,"1ZX3X0880300288348    ","2017-07-09 13:03:39"
852472218,093002432440,"2017-07-09 00:00:00",A,UPS,GD,"1ZX3X0880300288348    ","2017-07-09 13:03:39"
852471477,093002432285,"2017-07-09 00:00:00",R,UPS,GDE,"1ZX3X088YW00288368    ","2017-07-09 13:04:13"
852480681,093002442671,"2017-07-09 00:00:00",R,UPS,GDE,"1ZX3X088YW00288519    ","2017-07-09 16:17:13"
852486234,093002445012,"2017-07-09 00:00:00",A,UPS,GD,"1ZX3X0880300288526    ","2017-07-09 16:43:38"
852486234,093002445012,"2017-07-09 00:00:00",A,UPS,GD,"1ZX3X0880300288526    ","2017-07-09 16:43:38"
852489659,093002447889,"2017-07-09 00:00:00",A,UPS,GD,"1ZX3X0880300288535    ","2017-07-09 17:32:08"
852489659,093002447889,"2017-07-09 00:00:00",A,UPS,GD,"1ZX3X0880300288535    ","2017-07-09 17:32:08"
852493198,093002451441,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288582    ","2017-07-09 18:35:43"
852482241,093002445946,"2017-07-10 00:00:00",A,UPS,GD,"1ZX3X0880300288615    ","2017-07-09 20:26:43"
852500775,093002457940,"2017-07-10 00:00:00",A,UPS,GD,"1ZX3X0880300288777    ","2017-07-09 20:37:37"
849669050,093002459979,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288591    ","2017-07-09 21:25:43"
852504436,093002460673,"2017-07-10 00:00:00",A,UPS,GD,"1ZX3X0880300288679    ","2017-07-09 21:39:42"
852504436,093002460673,"2017-07-10 00:00:00",A,UPS,GD,"1ZX3X0880300288679    ","2017-07-09 21:39:42"
852467263,093002460954,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288635    ","2017-07-09 21:53:08"
852467263,093002460954,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288635    ","2017-07-09 21:53:08"
852467263,093002460954,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288635    ","2017-07-09 21:53:08"
852181636,093002463316,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288608    ","2017-07-09 22:20:43"
852507388,093002463280,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288644    ","2017-07-09 22:23:38"
852507388,093002463280,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288644    ","2017-07-09 22:23:38"
852519533,093002494622,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288626    ","2017-07-10 05:25:42"
852524233,093002497193,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288662    ","2017-07-10 09:28:12"
852525552,093002499607,"2017-07-10 00:00:00",A,UPS,GD,"1ZX3X0880300288651    ","2017-07-10 10:22:08"
852525552,093002499607,"2017-07-10 00:00:00",A,UPS,GD,"1ZX3X0880300288651    ","2017-07-10 10:22:08"
852531106,093002533870,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288680    ","2017-07-10 11:31:38"
852531106,093002533870,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288680    ","2017-07-10 11:31:38"
852528922,093002532710,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288733    ","2017-07-10 11:32:43"
852285482,093002534255,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288699    ","2017-07-10 11:53:13"
852531730,093002535137,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288706    ","2017-07-10 12:01:14"
852531730,093002535137,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288706    ","2017-07-10 12:01:14"
852534883,093002537639,"2017-07-10 00:00:00",A,UPS,GD,"1ZX3X0880300288713    ","2017-07-10 12:42:13"
852541070,093002542449,"2017-07-10 00:00:00",A,UPS,GD,"1ZX3X0880300288722    ","2017-07-10 14:55:10"
840504875,093002574049,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288751    ","2017-07-10 17:23:08"
852551371,093002578803,"2017-07-10 00:00:00",R,UPS,GDE,"1ZX3X088YW00288760    ","2017-07-10 18:23:43"
NULL,093002578309,"2017-07-10 00:00:00",A,UPS,GD,"1ZX3X0880300288740    ","2017-07-10 18:38:11"
852563267,093002581756,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00289045    ","2017-07-10 19:51:08"
852563696,093002582517,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300288928    ","2017-07-10 20:06:42"
852570007,093002587694,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00288859    ","2017-07-10 21:50:08"
852569865,093002587738,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00288939    ","2017-07-10 21:52:12"
852570168,093002588152,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00289054    ","2017-07-10 22:01:13"
852570168,093002588152,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00289054    ","2017-07-10 22:01:13"
852570168,093002588152,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00289054    ","2017-07-10 22:01:13"
851384062,093002589442,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00288868    ","2017-07-10 22:23:42"
851677613,093002593819,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00288831    ","2017-07-10 23:46:08"
851677613,093002593819,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00288831    ","2017-07-10 23:46:08"
851677613,093002593819,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00288831    ","2017-07-10 23:46:08"
852577551,093002594467,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00288948    ","2017-07-11 00:12:43"
852562559,093002596159,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00288840    ","2017-07-11 00:56:38"
852585476,093003010939,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300288973    ","2017-07-11 07:16:06"
852585476,093003010939,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300288973    ","2017-07-11 07:16:06"
843916970,093003011776,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300288919    ","2017-07-11 08:48:59"
843916970,093003011776,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300288919    ","2017-07-11 08:48:59"
851573148,093003012882,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00288957    ","2017-07-11 09:31:05"
852588775,093003013251,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300288964    ","2017-07-11 09:35:35"
852592980,093003016380,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300288900    ","2017-07-11 10:47:27"
852593005,093003016275,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00288895    ","2017-07-11 11:19:30"
852593005,093003016275,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00288895    ","2017-07-11 11:19:30"
852594793,093003018366,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300288875    ","2017-07-11 11:32:29"
852594793,093003018366,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300288875    ","2017-07-11 11:32:29"
852595541,093003019212,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300288884    ","2017-07-11 11:46:00"
852595541,093003019212,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300288884    ","2017-07-11 11:46:00"
852595541,093003019212,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300288884    ","2017-07-11 11:46:00"
852595541,093003019212,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300288884    ","2017-07-11 11:46:00"
852595541,093003019212,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300288884    ","2017-07-11 11:46:00"
852595541,093003019212,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300288884    ","2017-07-11 11:46:00"
852595541,093003019212,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300288884    ","2017-07-11 11:46:00"
852598242,093003027149,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300289061    ","2017-07-11 14:16:00"
852589986,093003029316,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00289036    ","2017-07-11 15:22:36"
852589986,093003029316,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00289036    ","2017-07-11 15:22:36"
852610649,093003031931,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300289025    ","2017-07-11 16:09:37"
852610649,093003031931,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300289025    ","2017-07-11 16:09:37"
852610649,093003031931,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300289025    ","2017-07-11 16:09:37"
852610649,093003031931,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300289025    ","2017-07-11 16:09:37"
852612149,093003032056,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00289018    ","2017-07-11 16:17:59"
852612180,093003033029,"2017-07-11 00:00:00",R,UPS,GDE,"1ZX3X088YW00288993    ","2017-07-11 16:30:29"
852617713,093003036336,"2017-07-11 00:00:00",A,UPS,GD,"1ZX3X0880300289007    ","2017-07-11 17:36:06"
852617379,093003038217,"2017-07-12 00:00:00",A,UPS,GD,"1ZX3X0880300289356    ","2017-07-11 18:29:08"
852617379,093003038217,"2017-07-12 00:00:00",A,UPS,GD,"1ZX3X0880300289356    ","2017-07-11 18:29:08"
852617379,093003038217,"2017-07-12 00:00:00",A,UPS,GD,"1ZX3X0880300289356    ","2017-07-11 18:29:08"
852546844,093003042031,"2017-07-12 00:00:00",R,UPS,GDE,"1ZX3X088YW00289321    ","2017-07-11 19:31:06"
852546844,093003042031,"2017-07-12 00:00:00",R,UPS,GDE,"1ZX3X088YW00289321    ","2017-07-11 19:31:06"
852626951,093003045046,"2017-07-12 00:00:00",R,UPS,GDE,"1ZX3X088YW00289250    ","2017-07-11 20:37:29"
852626951,093003045046,"2017-07-12 00:00:00",R,UPS,GDE,"1ZX3X088YW00289250    ","2017-07-11 20:37:29"
851866631,093003045180,"2017-07-12 00:00:00",R,UPS,GDE,"1ZX3X088YW00289303    ","2017-07-11 20:48:59"
851866631,093003045180,"2017-07-12 00:00:00",R,UPS,GDE,"1ZX3X088YW00289303    ","2017-07-11 20:48:59"
851866631,093003045180,"2017-07-12 00:00:00",R,UPS,GDE,"1ZX3X088YW00289303    ","2017-07-11 20:48:59"
852628475,093003045905,"2017-07-12 00:00:00",A,UPS,GD,"1ZX3X0880300289105    ","2017-07-11 20:53:30"
852628475,093003045905,"2017-07-12 00:00:00",A,UPS,GD,"1ZX3X0880300289105    ","2017-07-11 20:53:30"
852628475,093003045905,"2017-07-12 00:00:00",A,UPS,GD,"1ZX3X0880300289105    ","2017-07-11 20:53:30"
