order_id,salescheck,Shipped_date,carrier,ship_mode,tracking_number,store_number
855918863,093001289940,2017-09-15,UPS,GD,1Z9728550300228577    ,1069
855941552,093001307291,2017-09-15,UPS,GD,1Z9728550300228568    ,1069
854062333,093001308919,2017-09-15,UPS,GDE,1Z972855YW00228588    ,1069
854062333,093001308919,2017-09-15,UPS,GDE,1Z972855YW00228588    ,1069
855921788,093001309358,2017-09-15,UPS,GDE,1Z972855YW00228597    ,1069
855953098,093001317198,2017-09-15,UPS,GDE,1Z972855YW00228613    ,1069
997018154,093001355368,2017-09-15,UPS,GDE,1Z972855YW00228622    ,1069
997018154,093001355368,2017-09-15,UPS,GDE,1Z972855YW00228622    ,1069
855986251,093001374732,2017-09-16,UPS,GD,1Z9728550300228639    ,1069
845452259,093001383935,2017-09-16,UPS,GD,1Z9728550300228693    ,1069
845452259,093001383935,2017-09-16,UPS,GD,1Z9728550300228693    ,1069
856004285,093001401092,2017-09-16,UPS,GDE,1Z972855YW00228702    ,1069
994422847,093001426145,2017-09-18,UPS,GDE,1Z972855YW00228711    ,1069
856048029,093001435918,2017-09-18,UPS,GDE,1Z972855YW00228720    ,1069
856048029,093001435918,2017-09-18,UPS,GDE,1Z972855YW00228720    ,1069
856052448,093001439662,2017-09-18,UPS,GD,1Z9728550300228746    ,1069
856053538,093001442131,2017-09-18,UPS,GDE,1Z972855YW00228757    ,1069
855206191,093001447387,2017-09-18,UPS,GD,1Z9728550300228773    ,1069
856067024,093001453129,2017-09-18,UPS,GDE,1Z972855YW00228766    ,1069
856067396,093001454105,2017-09-18,UPS,GDE,1Z972855YW00228784    ,1069
856067396,093001454105,2017-09-18,UPS,GDE,1Z972855YW00228784    ,1069
856081702,093001468848,2017-09-18,UPS,GDE,1Z9728550300228791    ,1069
856081702,093001468848,2017-09-18,UPS,GDE,1Z9728550300228791    ,1069
856081702,093001468848,2017-09-18,UPS,GDE,1Z9728550300228791    ,1069
856081702,093001468848,2017-09-18,UPS,GDE,1Z9728550300228791    ,1069
851676660,093001492883,2017-09-18,UPS,GDE,1Z972855YW00228800    ,1069
851676660,093001492883,2017-09-18,UPS,GDE,1Z972855YW00228800    ,1069
851676660,093001492883,2017-09-18,UPS,GDE,1Z972855YW00228800    ,1069
851676660,093001492883,2017-09-18,UPS,GDE,1Z972855YW00228800    ,1069
856088467,093001493756,2017-09-18,UPS,GDE,1Z972855YW00228819    ,1069
856102646,093001534193,2017-09-18,UPS,GD,1Z9728550300228826    ,1069
856114372,093001545255,2017-09-19,UPS,GDE,1Z972855YW00228837    ,1069
856114372,093001545255,2017-09-19,UPS,GDE,1Z972855YW00228837    ,1069
856131406,093001578436,2017-09-19,UPS,GDE,1Z972855YW00228846    ,1069
856131406,093001578436,2017-09-19,UPS,GDE,1Z972855YW00228846    ,1069
856146206,093001591711,2017-09-19,UPS,GDE,1Z972855YW00228855    ,1069
856144356,093001591657,2017-09-19,UPS,GD,1Z9728550300228862    ,1069
856156051,093002011132,2017-09-19,UPS,GD,1Z9728550300228871    ,1069
856169410,093002023460,2017-09-20,UPS,GDE,1Z972855YW00228917    ,1069
856169410,093002023460,2017-09-20,UPS,GDE,1Z972855YW00228917    ,1069
856187345,093002036285,2017-09-20,UPS,GDE,1Z972855YW00228908    ,1069
856188969,093002037375,2017-09-20,UPS,GDE,1Z972855YW00228891    ,1069
856194758,093002042424,2017-09-20,UPS,GDE,1Z972855YW00228882    ,1069
856194758,093002042424,2017-09-20,UPS,GDE,1Z972855YW00228882    ,1069
856204691,093002060340,2017-09-20,UPS,GDE,1Z972855YW00228926    ,1069
856204691,093002060340,2017-09-20,UPS,GDE,1Z972855YW00228926    ,1069
841154803,093002062558,2017-09-20,UPS,GDE,1Z972855YW00228935    ,1069
856211493,093002066075,2017-09-20,UPS,GD,1Z9728550300228942    ,1069
856211132,093002065931,2017-09-20,UPS,GD,1Z9728550300228951    ,1069
856211132,093002065931,2017-09-20,UPS,GD,1Z9728550300228951    ,1069
856211132,093002065931,2017-09-20,UPS,GD,1Z9728550300228951    ,1069
856213596,093002068407,2017-09-20,UPS,GD,1Z9728550300228960    ,1069
856213596,093002068407,2017-09-20,UPS,GD,1Z9728550300228960    ,1069
856213596,093002068407,2017-09-20,UPS,GD,1Z9728550300228960    ,1069
856216289,093002071549,2017-09-20,UPS,GDE,1Z972855YW00228971    ,1069
856217633,093002071574,2017-09-20,UPS,GD,1Z9728550300228988    ,1069
856220268,093002075920,2017-09-20,UPS,GDE,1Z972855YW00228999    ,1069
856220268,093002075920,2017-09-20,UPS,GDE,1Z972855YW00228999    ,1069
856220268,093002075920,2017-09-20,UPS,GDE,1Z972855YW00228999    ,1069
856222914,093002077043,2017-09-21,UPS,GD,1Z9728550300229058    ,1069
856226108,093002079866,2017-09-21,UPS,GDE,1Z972855YW00229032    ,1069
856201882,093002081035,2017-09-21,UPS,GDE,1Z972855YW00229087    ,1069
856171127,093002082905,2017-09-21,UPS,GD,1Z9728550300229094    ,1069
856233750,093002086918,2017-09-21,UPS,GDE,1Z972855YW00229023    ,1069
856246852,093002099958,2017-09-21,UPS,GDE,1Z972855YW00229078    ,1069
856260638,093002140519,2017-09-21,UPS,GDE,1Z972855YW00229069    ,1069
856248393,093002099624,2017-09-21,UPS,GDE,1Z972855YW00229041    ,1069
855245572,093002144672,2017-09-22,UPS,GDE,1Z972855YW00229274    ,1069
856278113,093002157006,2017-09-22,UPS,GDE,1Z972855YW00229167    ,1069
856278113,093002157006,2017-09-22,UPS,GDE,1Z972855YW00229167    ,1069
856252241,093002158523,2017-09-22,UPS,GDE,1Z972855YW00229194    ,1069
856280880,093002159339,2017-09-22,UPS,GDE,1Z972855YW00229283    ,1069
856227562,093002161449,2017-09-22,UPS,GDE,1Z972855YW00229185    ,1069
856285366,093002164973,2017-09-22,UPS,GDE,1Z972855YW00229247    ,1069
856287738,093002165964,2017-09-22,UPS,GDE,1Z972855YW00229201    ,1069
856296611,093002172794,2017-09-22,UPS,GDE,1Z972855YW00229158    ,1069
856296611,093002172794,2017-09-22,UPS,GDE,1Z972855YW00229158    ,1069
856265593,093002174265,2017-09-22,UPS,GD,1Z9728550300229227    ,1069
856265593,093002174265,2017-09-22,UPS,GD,1Z9728550300229236    ,1069
856300199,093002176248,2017-09-22,UPS,GD,1Z9728550300229218    ,1069
856243005,093002181115,2017-09-22,UPS,GDE,1Z972855YW00229176    ,1069
856295530,093002184668,2017-09-22,UPS,GD,1Z9728550300229254    ,1069
856304861,093002187797,2017-09-22,UPS,GDE,1Z972855YW00229292    ,1069
856304861,093002187797,2017-09-22,UPS,GDE,1Z972855YW00229292    ,1069
856279295,093002189577,2017-09-22,UPS,GD,1Z9728550300229263    ,1069
856279295,093002189577,2017-09-22,UPS,GD,1Z9728550300229263    ,1069
856314966,093002201005,2017-09-22,UPS,GDE,1Z972855YW00229309    ,1069
856324722,093002208318,2017-09-23,UPS,GDE,1Z972855YW00229327    ,1069
856324722,093002208318,2017-09-23,UPS,GDE,1Z972855YW00229327    ,1069
856325929,093002208886,2017-09-23,UPS,GDE,1Z972855YW00229336    ,1069
856324095,093002220699,2017-09-23,UPS,GDE,1Z972855YW00229354    ,1069
856324095,093002220699,2017-09-23,UPS,GDE,1Z972855YW00229354    ,1069
842970751,093002221186,2017-09-23,UPS,GDE,1Z972855YW00229345    ,1069
856331809,093002224378,2017-09-23,UPS,GDE,1Z972855YW00229372    ,1069
856332076,093002225120,2017-09-23,UPS,GDE,1Z972855YW00229363    ,1069
856286887,093002226053,2017-09-23,UPS,GDE,1Z972855YW00229381    ,1069
856337186,093002229076,2017-09-23,UPS,GDE,1Z972855YW00229390    ,1069
856342503,093002233537,2017-09-23,UPS,GDE,1Z972855YW00229416    ,1069
856302167,093002238548,2017-09-23,UPS,GDE,1Z972855YW00229407    ,1069
856351599,093002241504,2017-09-23,UPS,GD,1Z9728550300229423    ,1069
856351688,093002241508,2017-09-23,UPS,GD,1Z9728550300229441    ,1069
856351550,093002241489,2017-09-23,UPS,GDE,1Z972855YW00229434    ,1069
856359704,093002248797,2017-09-23,UPS,GDE,1Z972855YW00229461    ,1069
856363038,093002251550,2017-09-23,UPS,GDE,1Z972855YW00229452    ,1069
856363038,093002251550,2017-09-23,UPS,GDE,1Z972855YW00229452    ,1069
856367329,093002255827,2017-09-23,UPS,GD,1Z9728550300229487    ,1069
856338449,093002256336,2017-09-23,UPS,GDE,1Z972855YW00229470    ,1069
856338449,093002256336,2017-09-23,UPS,GDE,1Z972855YW00229470    ,1069
852892634,093002260883,2017-09-23,UPS,GD,1Z9728550300229496    ,1069
856377828,093002264994,2017-09-24,UPS,GDE,1Z972855YW00229514    ,1069
856385859,093002281196,2017-09-24,UPS,GD,1Z9728550300229503    ,1069
856269334,093002285676,2017-09-24,UPS,GDE,1Z972855YW00229523    ,1069
856400517,093002294497,2017-09-24,UPS,GDE,1Z972855YW00229532    ,1069
856400349,093002294806,2017-09-24,UPS,GD,1Z9728550300229549    ,1069
